City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
217,salvador,90,BR,1563513108,69,-12.98,-38.48,77.0,14.99
218,malaut,18,IN,1563513225,52,30.22,74.48,94.25,8.59
219,pangnirtung,76,CA,1563513065,61,66.15,-65.72,48.35,5.41
220,grindavik,40,IS,1563513010,87,63.84,-22.43,54.0,16.11
221,puerto ayora,23,EC,1563512957,89,-0.74,-90.35,70.0,3.0
222,batagay-alyta,81,RU,1563512997,75,67.8,130.41,40.43,15.57
223,los llanos de aridane,40,ES,1563512970,56,28.66,-17.92,71.6,14.99
224,simbahan,0,PH,1563513226,80,6.3,120.58,82.55,13.11
225,pizarro,75,CO,1563512984,82,4.95,-77.37,80.39,5.1
226,bethel,90,US,1563512715,77,60.79,-161.76,60.8,10.29
227,mirzapur,20,IN,1563513226,63,25.15,82.57,93.2,4.7
228,ouesso,56,CG,1563513226,94,1.61,16.05,71.03,2.39
229,nikolskoye,90,RU,1563512682,93,59.7,30.79,61.0,8.95
230,basco,1,US,1563513018,83,40.33,-91.2,84.99,9.17
231,vestmanna,78,FO,1563513227,100,62.16,-7.17,51.8,12.75
232,merauke,87,ID,1563513227,84,-8.49,140.4,77.33,22.73
233,yelkhovka,0,RU,1563513227,73,53.87,50.29,71.6,8.95
234,richards bay,10,ZA,1563512999,33,-28.77,32.06,67.25,5.19
235,zonguldak,0,TR,1563513227,67,41.25,31.83,72.83,6.58
236,miguel auza,94,MX,1563513228,49,24.29,-103.45,71.75,5.57
237,dalvik,88,SE,1563513228,87,57.79,14.13,55.0,3.15
238,arlit,61,NE,1563512802,21,18.74,7.39,90.83,12.17
239,voloshka,94,RU,1563513228,66,61.33,40.09,63.47,7.72
240,vao,51,EE,1563513008,81,59.1,26.19,60.77,9.46
241,rockland,40,CA,1563513228,77,45.55,-75.29,72.0,3.36
242,tura,0,RU,1563512950,33,64.27,100.22,65.63,15.43
243,jadu,0,LY,1563513229,45,31.95,12.03,76.25,7.85
244,mount gambier,90,AU,1563512973,71,-37.83,140.78,53.6,10.29
245,gananoque,1,CA,1563513229,94,44.33,-76.16,72.0,5.61
246,antigonish,1,CA,1563513229,62,45.62,-61.99,63.0,4.7
247,pucallpa,40,PE,1563513229,94,-8.38,-74.54,73.4,3.36
248,talara,15,PE,1563513196,88,-4.58,-81.27,63.47,17.65
249,vanimo,1,PG,1563512987,76,-2.67,141.3,82.19,8.3
250,samarai,74,PG,1563512956,86,-10.62,150.67,73.19,6.93
251,rio gallegos,40,AR,1563512914,72,-51.62,-69.22,35.6,13.87
252,manama,0,AE,1563513230,59,25.33,56.02,93.2,14.99
253,clermont,90,FR,1563513230,93,49.38,2.41,64.0,2.24
254,tiksi,97,RU,1563512900,74,71.64,128.87,41.69,11.32
255,tonekabon,40,IR,1563513231,69,36.82,50.88,82.4,4.7
256,trelew,100,AR,1563513231,50,-43.25,-65.31,46.73,28.25
257,reinheim,99,DE,1563513231,93,49.83,8.83,69.01,2.24
258,weyburn,4,CA,1563513231,82,49.67,-103.85,60.01,1.01
259,santiago del estero,2,AR,1563513231,63,-27.8,-64.26,52.67,4.23
260,egvekinot,99,RU,1563512974,92,66.32,-179.17,51.05,4.43
261,kirakira,4,SB,1563513056,77,-10.46,161.92,82.19,8.99
262,presidente epitacio,78,BR,1563513009,80,-21.76,-52.12,59.15,5.17
263,sovetskiy,71,RU,1563513232,88,56.76,48.47,67.25,3.22
264,lompoc,90,US,1563512972,87,34.64,-120.46,61.0,5.82
265,lithakia,0,GR,1563513232,88,37.72,20.83,72.0,4.94
266,mogadishu,75,SO,1563513021,73,2.04,45.34,77.0,17.22
267,bathsheba,20,BB,1563512925,78,13.22,-59.52,82.4,18.34
268,ponta do sol,67,BR,1563512995,87,-20.63,-46.0,50.33,5.39
269,hokitika,100,NZ,1563513232,88,-42.72,170.96,50.69,5.53
270,xacmaz,0,AZ,1563513233,32,41.46,48.81,85.97,10.38
271,erenhot,100,CN,1563513233,66,43.65,111.97,71.75,9.86
272,yulara,0,AU,1563512967,17,-25.24,130.99,73.4,9.17
273,hay river,20,CA,1563513233,71,60.82,-115.79,57.2,4.7
274,banmankhi,6,IN,1563513233,51,25.89,87.19,95.87,7.05
275,tautira,20,PF,1563512982,57,-17.73,-149.15,75.2,4.7
276,namtsy,40,RU,1563513234,54,62.72,129.66,57.2,11.18
277,borova,0,UA,1563513234,82,50.18,30.1,63.0,8.95
278,gangarampur,9,IN,1563513234,48,25.41,88.52,96.95,7.72
279,baykit,0,RU,1563513234,31,61.68,96.39,67.79,14.34
280,yarmouth,40,CA,1563513235,93,43.84,-66.12,57.2,2.24
281,vallenar,0,CL,1563512991,68,-28.58,-70.76,49.07,1.68
282,sheopur,0,IN,1563513178,36,25.67,76.7,98.21,6.11
283,ubatuba,94,BR,1563513235,98,-23.43,-45.08,52.13,1.57
284,dosso,100,NE,1563513235,71,13.05,3.19,78.41,14.52
285,felanitx,20,ES,1563513235,82,39.47,3.15,73.99,2.24
286,ndjole,100,GA,1563513235,94,-0.18,10.76,73.01,1.41
287,keta,40,GH,1563513236,88,5.92,0.99,77.0,11.41
288,farafangana,0,MG,1563513236,84,-22.82,47.83,66.53,2.28
289,megion,40,RU,1563513236,73,61.04,76.11,77.0,8.95
290,bonthe,100,SL,1563513236,90,7.53,-12.5,75.53,7.87
291,chistogorskiy,98,RU,1563513236,87,53.98,87.38,66.35,9.51
292,kirkwood,40,ZA,1563513237,93,-33.4,25.44,59.0,27.51
293,singkang,75,MY,1563513237,66,2.1,102.8,86.0,8.05
294,minas,100,UY,1563513237,100,-34.38,-55.24,48.2,3.02
295,naze,100,NG,1563512994,94,5.43,7.07,73.73,5.82
296,keti bandar,76,PK,1563512946,79,24.14,67.45,82.91,11.88
297,manokwari,9,ID,1563513237,73,-0.87,134.08,78.05,2.26
298,codrington,0,AU,1563513040,28,-28.95,153.24,71.6,8.05
299,batemans bay,0,AU,1563513138,52,-35.71,150.18,62.01,1.01
300,college,75,US,1563512750,56,64.86,-147.8,75.2,8.05
301,bobrovka,83,RU,1563513238,66,52.3,45.54,71.03,7.85
302,kloulklubed,75,PW,1563513046,88,7.04,134.26,80.6,6.93
303,deputatskiy,100,RU,1563512945,70,69.3,139.9,42.23,8.1
304,gashua,100,NG,1563513238,79,12.87,11.04,75.71,22.59
305,tazovskiy,0,RU,1563513238,68,67.47,78.7,69.77,13.24
306,saint-pierre,75,FR,1563512960,93,48.95,4.24,64.0,3.36
307,saskylakh,22,RU,1563512959,37,71.97,114.09,63.65,7.52
308,saint-joseph,20,FR,1563513037,88,43.56,6.97,71.6,4.7
309,muravlenko,0,RU,1563513239,53,63.79,74.5,79.85,5.48
310,radzyn podlaski,0,PL,1563513239,87,51.78,22.62,75.0,1.12
311,ambilobe,0,MG,1563513240,44,-13.19,49.05,79.85,11.48
312,maragogi,25,BR,1563513227,95,-9.01,-35.22,68.51,4.27
313,innisfail,0,AU,1563513240,45,-17.52,146.03,71.01,5.01
314,bandarbeyla,100,SO,1563513016,36,9.49,50.81,88.13,31.54
315,big rapids,40,US,1563513022,94,43.7,-85.48,78.8,5.82
316,yinchuan,82,CN,1563513240,39,38.48,106.21,80.01,5.01
317,awjilah,0,LY,1563513054,47,29.14,21.3,78.05,4.32
318,marrakesh,0,MA,1563513241,77,31.63,-7.99,66.2,6.93
319,kasongo-lunda,11,CD,1563513241,38,-6.48,16.82,65.27,2.13
320,aykhal,40,RU,1563512972,38,65.95,111.51,59.0,11.18
321,roma,0,IT,1563512845,72,41.89,12.48,72.0,3.36
322,poli,100,CM,1563513241,95,8.48,13.24,71.03,2.21
323,caraquet,1,CA,1563513242,82,47.79,-64.94,59.0,3.36
324,tieli,28,CN,1563513242,60,46.98,128.05,83.09,4.0
325,nhulunbuy,75,AU,1563513142,61,-12.18,136.78,80.6,14.99
326,jasper,1,US,1563512959,106,33.83,-87.28,80.6,0.94
327,yelahanka,75,IN,1563513242,100,13.1,77.6,79.0,5.82
328,kaspi,20,GE,1563513242,64,41.93,44.42,73.4,25.28
329,gambela,95,ET,1563513243,92,8.25,34.59,69.95,2.42
330,carutapera,30,BR,1563513008,92,-1.2,-46.02,73.73,2.42
331,arman,100,RU,1563513243,98,59.7,150.17,51.77,4.23
332,xinyu,19,CN,1563512964,69,27.8,114.93,89.39,5.44
333,donskoye,40,RU,1563513243,82,45.45,41.98,66.2,4.47
334,alausi,12,EC,1563513243,63,-2.2,-78.83,54.65,8.32
335,ostrovnoy,79,RU,1563513011,63,68.05,39.51,52.85,10.83
336,lavrentiya,100,RU,1563512956,79,65.58,-170.99,47.09,6.6
337,xifeng,43,CN,1563513244,51,42.73,124.72,85.97,8.66
338,caronport,0,CA,1563513244,85,50.46,-105.81,57.0,5.01
339,meulaboh,100,ID,1563512967,78,4.14,96.13,80.21,9.62
340,kavaratti,100,IN,1563513082,80,10.57,72.64,80.57,26.64
341,axim,100,GH,1563513010,91,4.87,-2.24,75.89,10.22
342,north bend,1,US,1563513032,77,43.41,-124.22,63.0,6.93
343,mfou,75,CM,1563513245,100,3.72,11.64,68.0,1.12
344,katubao,20,PH,1563513245,62,5.89,124.83,87.8,4.7
345,cherskiy,23,RU,1563512995,55,68.75,161.3,44.93,18.12
346,gevrai,5,IN,1563513245,47,19.27,75.75,89.93,6.29
347,kaitangata,100,NZ,1563512961,74,-46.28,169.85,50.0,5.99
